127.0.0.1 - - [28/Mar/2023:20:11:55 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:11:56 -0300] "GET /spring.mvc/WEB-INF/jsp/home/index.jsp HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:11:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:12:05 -0300] "GET /spring.mvc/home/index.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:12:36 -0300] "GET /spring.mvc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:12:36 -0300] "GET /spring.mvc/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:12:44 -0300] "GET /spring.mvc/inicio HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:12:54 -0300] "GET /spring.mvc/index HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:12:58 -0300] "GET /spring.mvc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:12:58 -0300] "GET /spring.mvc/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:13:31 -0300] "GET /spring.mvc/contato HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:13:37 -0300] "GET /spring.mvc/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:13:41 -0300] "GET /spring.mvc/estacionamento/cadastrar HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:13:43 -0300] "GET /spring.mvc/estacionamento/listar HTTP/1.1" 200 3529
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:15:23 -0300] "GET /spring.mvc/contato HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:29:53 -0300] "GET /spring.mvc/estacionamento/cadastrar HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:31:01 -0300] "GET /spring.mvc/estacionamento/cadastrar HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:31:02 -0300] "GET /spring.mvc/estacionamento/listar HTTP/1.1" 200 3529
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:31:06 -0300] "GET /spring.mvc/estacionamento/editar/1 HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:31:12 -0300] "GET /spring.mvc/estacionamento/listar HTTP/1.1" 200 3529
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:31:14 -0300] "GET /spring.mvc/estacionamento/editar/1 HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:31:16 -0300] "GET /spring.mvc/estacionamento/listar HTTP/1.1" 200 3529
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:53:52 -0300] "POST /spring.mvc/estacionamento/excluir HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:20:53:52 -0300] "GET /spring.mvc/estacionamento/listar HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [28/Mar/2023:21:33:11 -0300] "GET /spring.mvc/contato HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [28/Mar/2023:21:33:23 -0300] "GET /spring.mvc/estacionamento/cadastrar HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [28/Mar/2023:21:33:28 -0300] "POST /spring.mvc/estacionamento/cadastrar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:21:33:28 -0300] "GET /spring.mvc/estacionamento/cadastrar HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [28/Mar/2023:21:33:31 -0300] "GET /spring.mvc/estacionamento/listar HTTP/1.1" 200 3530
0:0:0:0:0:0:0:1 - - [28/Mar/2023:21:33:37 -0300] "GET /spring.mvc/estacionamento/listar HTTP/1.1" 200 3530
0:0:0:0:0:0:0:1 - - [28/Mar/2023:21:33:41 -0300] "GET /spring.mvc/estacionamento/listar HTTP/1.1" 200 3530
0:0:0:0:0:0:0:1 - - [28/Mar/2023:21:33:47 -0300] "GET /spring.mvc/estacionamento/listar HTTP/1.1" 200 3530
